corpus_id,source_url,source_domain,document_title,document_family,artifact_type,retrieval_date,effective_date,jurisdiction,language,trust_level,corpus_status,storage_path,extraction_mode,parse_success,promoted_rule_count,has_table_data,notes,content_hash,duplicate_of,supersedes,superseded_by,discovered_by,last_reviewed_at,approved_by,review_notes
CORP-0022,,,PHIP-Travel-Comparison-2026.pdf,other,pdf_native_text,2026-03-11T09:45:34.329971+00:00,,undetected,en,unverified,approved_for_corpus,/home/claude/repo/data/corpus/active/PHIP-Travel-Comparison-2026.pdf,pdf-parse-native,True,0,False,Seeded from existing verified corpus,5ee1a5c25e9ead90a366a1e04f66ebb8,,,,legacy_corpus,2026-03-11T09:45:34.329982+00:00,system_seed,Auto-approved from verified production corpus
CORP-0023,,,Philippine airlines general conditions of carriage full version.pdf,airline,pdf_native_text,2026-03-11T09:45:34.334636+00:00,,undetected,en,high,approved_for_corpus,/home/claude/repo/data/corpus/active/Philippine airlines general conditions of carriage full version.pdf,pdf-parse-native,True,2,False,Seeded from existing verified corpus,9ad49a98ff431b13d8a4f359650a58b9,,,,legacy_corpus,2026-03-11T09:45:34.334649+00:00,system_seed,Auto-approved from verified production corpus
CORP-0024,,,Royal_Caribbean_booklet_.pdf,rental,pdf_native_text,2026-03-11T09:45:34.337074+00:00,,undetected,en,unverified,approved_for_corpus,/home/claude/repo/data/corpus/active/Royal_Caribbean_booklet_.pdf,pdf-parse-native,True,9,False,Seeded from existing verified corpus,fcd32b449cf32c0f4c661a31234cbac9,,,,legacy_corpus,2026-03-11T09:45:34.337079+00:00,system_seed,Auto-approved from verified production corpus
CORP-0025,,,Standard_Contract_of_carriage_-_Alaska_Airlines.mhtml,airline,mhtml,2026-03-11T09:45:34.344221+00:00,,undetected,en,unverified,approved_for_corpus,/home/claude/repo/data/corpus/active/Standard_Contract_of_carriage_-_Alaska_Airlines.mhtml,mhtml-extraction,True,1,False,Seeded from existing verified corpus,0de02ff56c6868a9d3725002d9abe62f,,,,legacy_corpus,2026-03-11T09:45:34.344232+00:00,system_seed,Auto-approved from verified production corpus
CORP-0026,,,Terms & Conditions.pdf,other,pdf_native_text,2026-03-11T09:45:34.346962+00:00,,undetected,en,medium,approved_for_corpus,/home/claude/repo/data/corpus/active/Terms & Conditions.pdf,pdf-parse-native,True,1,False,Seeded from existing verified corpus,88505aefc4d5f5853fb2f2bb9c0ae79d,,,,legacy_corpus,2026-03-11T09:45:34.346974+00:00,system_seed,Auto-approved from verified production corpus
CORP-0027,,,Terms and Conditions of Carriage for KT Flights _ AirAsia MOVE.pdf,airline,pdf_native_text,2026-03-11T09:45:34.349380+00:00,,undetected,en,high,approved_for_corpus,/home/claude/repo/data/corpus/active/Terms and Conditions of Carriage for KT Flights _ AirAsia MOVE.pdf,pdf-parse-native,True,5,False,Seeded from existing verified corpus,fd4966155283ec0166d8eb55f257559c,,,,legacy_corpus,2026-03-11T09:45:34.349386+00:00,system_seed,Auto-approved from verified production corpus
CORP-0028,,,United Airlines Lenghty Tarmac Plan.txt,airline,txt,2026-03-11T09:45:34.351297+00:00,,undetected,en,unverified,approved_for_corpus,/home/claude/repo/data/corpus/active/United Airlines Lenghty Tarmac Plan.txt,txt-read,True,0,False,Seeded from existing verified corpus,ed65fbb59c3303af520c8834c0b00c8a,,,,legacy_corpus,2026-03-11T09:45:34.351302+00:00,system_seed,Auto-approved from verified production corpus
CORP-0029,,,United Contract of Carriage.txt,airline,txt,2026-03-11T09:45:34.353903+00:00,,undetected,en,high,approved_for_corpus,/home/claude/repo/data/corpus/active/United Contract of Carriage.txt,txt-read,True,9,False,Seeded from existing verified corpus,e007cc7e08c2d52ad6457dbfdaedcc52,,,,legacy_corpus,2026-03-11T09:45:34.353906+00:00,system_seed,Auto-approved from verified production corpus
CORP-0030,,,WKS_#U00d6AMTC_2026_Englisch.pdf,other,pdf_native_text,2026-03-11T09:45:34.355338+00:00,,undetected,en,unverified,approved_for_corpus,/home/claude/repo/data/corpus/active/WKS_#U00d6AMTC_2026_Englisch.pdf,pdf-parse-native,True,5,False,Seeded from existing verified corpus,f168a5ce6448d4206b91f444a0544e4d,,,,legacy_corpus,2026-03-11T09:45:34.355341+00:00,system_seed,Auto-approved from verified production corpus
CORP-0031,,,air-new-zealand-modern-slavery-act-statement-2023.pdf,airline,pdf_native_text,2026-03-11T09:45:34.364699+00:00,,undetected,en,unverified,approved_for_corpus,/home/claude/repo/data/corpus/active/air-new-zealand-modern-slavery-act-statement-2023.pdf,pdf-parse-native,True,1,False,Seeded from existing verified corpus,1a750c83caa32b2bf782ae74c24aa3a6,,,,legacy_corpus,2026-03-11T09:45:34.364711+00:00,system_seed,Auto-approved from verified production corpus
CORP-0032,,,amex return protection.pdf,credit_card,pdf_native_text,2026-03-11T09:45:34.367643+00:00,,undetected,en,medium,approved_for_corpus,/home/claude/repo/data/corpus/active/amex return protection.pdf,pdf-parse-native,True,13,False,Seeded from existing verified corpus,6a00cb5df02ad3845260c331ddc5f128,,,,legacy_corpus,2026-03-11T09:45:34.367648+00:00,system_seed,Auto-approved from verified production corpus
CORP-0033,,,amex travel protection-Benefit-Guide_316-404_EDT_10.20_REV_4.24_a11y.pdf,credit_card,pdf_native_text,2026-03-11T09:45:34.369811+00:00,,undetected,en,medium,approved_for_corpus,/home/claude/repo/data/corpus/active/amex travel protection-Benefit-Guide_316-404_EDT_10.20_REV_4.24_a11y.pdf,pdf-parse-native,True,6,False,Seeded from existing verified corpus,d2daf83d23cb5f2baa6b194c553bb9a1,,,,legacy_corpus,2026-03-11T09:45:34.369814+00:00,system_seed,Auto-approved from verified production corpus
CORP-0034,,,budget-us-protections-coverages-brochure-010224.pdf,rental,pdf_native_text,2026-03-11T09:45:34.374415+00:00,,undetected,en,medium,approved_for_corpus,/home/claude/repo/data/corpus/active/budget-us-protections-coverages-brochure-010224.pdf,pdf-parse-native,True,5,False,Seeded from existing verified corpus,d89586c71b384df4e8a27641b2653d9a,,,,legacy_corpus,2026-03-11T09:45:34.374427+00:00,system_seed,Auto-approved from verified production corpus
CORP-0035,,,ca-booking-conditions-jan-2025.pdf,hotel,pdf_native_text,2026-03-11T09:45:34.379676+00:00,,undetected,en,unverified,approved_for_corpus,/home/claude/repo/data/corpus/active/ca-booking-conditions-jan-2025.pdf,pdf-parse-native,True,5,False,Seeded from existing verified corpus,209bc1648d7412f9492b275c5d0232b0,,,,legacy_corpus,2026-03-11T09:45:34.379682+00:00,system_seed,Auto-approved from verified production corpus
CORP-0036,,,cellar_2f65bf46-8f8a-11ee-8aa6-01aa75ed71a1.0001.02_DOC_1.pdf,eu_jurisdiction,pdf_native_text,2026-03-11T09:45:34.382576+00:00,,undetected,en,unverified,approved_for_corpus,/home/claude/repo/data/corpus/active/cellar_2f65bf46-8f8a-11ee-8aa6-01aa75ed71a1.0001.02_DOC_1.pdf,pdf-parse-native,True,2,False,Seeded from existing verified corpus,077746aa9aeaea40b98e5fdb274ddc28,,,,legacy_corpus,2026-03-11T09:45:34.382589+00:00,system_seed,Auto-approved from verified production corpus
CORP-0037,,,cellar_2f65bf46-8f8a-11ee-8aa6-01aa75ed71a1.xml,eu_jurisdiction,xml,2026-03-11T09:45:34.429729+00:00,,undetected,en,unverified,approved_for_corpus,/home/claude/repo/data/corpus/active/cellar_2f65bf46-8f8a-11ee-8aa6-01aa75ed71a1.xml,xml-read,True,0,False,Seeded from existing verified corpus,bb2b37c1e25693df0c62696f5ec15e6c,,,,legacy_corpus,2026-03-11T09:45:34.429739+00:00,system_seed,Auto-approved from verified production corpus
CORP-0038,,,ctp_accident-report-form.pdf,other,pdf_native_text,2026-03-11T09:45:34.431890+00:00,,undetected,en,unverified,approved_for_corpus,/home/claude/repo/data/corpus/active/ctp_accident-report-form.pdf,pdf-parse-native,True,2,False,Seeded from existing verified corpus,f99cd2ee576734fa1f08c0d526e2c948,,,,legacy_corpus,2026-03-11T09:45:34.431895+00:00,system_seed,Auto-approved from verified production corpus
CORP-0039,,,eu Documents..pdf,eu_jurisdiction,pdf_native_text,2026-03-11T09:45:34.435204+00:00,,EU,en,unverified,approved_for_corpus,/home/claude/repo/data/corpus/active/eu Documents..pdf,pdf-parse-native,True,3,False,Seeded from existing verified corpus,0bc674dcda058dfb3bf43bd8374e4e44,,,,legacy_corpus,2026-03-11T09:45:34.435217+00:00,system_seed,Auto-approved from verified production corpus
CORP-0040,,,factsheet_package_holidays_2018.06_en_web.pdf,eu_jurisdiction,pdf_native_text,2026-03-11T09:45:34.455743+00:00,,undetected,en,unverified,approved_for_corpus,/home/claude/repo/data/corpus/active/factsheet_package_holidays_2018.06_en_web.pdf,pdf-parse-native,True,3,False,Seeded from existing verified corpus,790add0b7019602dae0a9a7343e4be92,,,,legacy_corpus,2026-03-11T09:45:34.455749+00:00,system_seed,Auto-approved from verified production corpus
CORP-0041,,,frontier contract of carriage.pdf,airline,pdf_native_text,2026-03-11T09:45:34.458062+00:00,,undetected,en,high,approved_for_corpus,/home/claude/repo/data/corpus/active/frontier contract of carriage.pdf,pdf-parse-native,True,13,False,Seeded from existing verified corpus,0dd2ade7d15c772190d01d70d85accda,,,,legacy_corpus,2026-03-11T09:45:34.458066+00:00,system_seed,Auto-approved from verified production corpus
CORP-0042,,,main.govpilot.com_web_public_b5c0642b-18f_Citizen-Incident-Reports-City-of-Elizabeth_uid=7414&ust=NJ&pu=1&id=0.pdf,other,pdf_native_text,2026-03-11T09:45:34.461667+00:00,,undetected,en,unverified,approved_for_corpus,/home/claude/repo/data/corpus/active/main.govpilot.com_web_public_b5c0642b-18f_Citizen-Incident-Reports-City-of-Elizabeth_uid=7414&ust=NJ&pu=1&id=0.pdf,pdf-parse-native,True,0,False,Seeded from existing verified corpus,c771d80f265a781dd31c1627624e8c80,,,,legacy_corpus,2026-03-11T09:45:34.461676+00:00,system_seed,Auto-approved from verified production corpus
CORP-0043,,,premier world discovery travel protction.pdf,insurance,pdf_native_text,2026-03-11T09:45:34.464109+00:00,,undetected,en,unverified,approved_for_corpus,/home/claude/repo/data/corpus/active/premier world discovery travel protction.pdf,pdf-parse-native,True,14,False,Seeded from existing verified corpus,5690891b4cf160cdfc0bcb42d65d6fad,,,,legacy_corpus,2026-03-11T09:45:34.464121+00:00,system_seed,Auto-approved from verified production corpus
CORP-0044,,,southwest contract-of-carriage.pdf,airline,pdf_native_text,2026-03-11T09:45:34.467347+00:00,,undetected,en,unverified,approved_for_corpus,/home/claude/repo/data/corpus/active/southwest contract-of-carriage.pdf,pdf-parse-native,True,9,False,Seeded from existing verified corpus,37ebbb99363b7cfbf935a0f213264138,,,,legacy_corpus,2026-03-11T09:45:34.467360+00:00,system_seed,Auto-approved from verified production corpus
CORP-0045,,,sun country airlines_Contract_of_Carriage.pdf,airline,pdf_native_text,2026-03-11T09:45:34.470964+00:00,,undetected,en,unverified,approved_for_corpus,/home/claude/repo/data/corpus/active/sun country airlines_Contract_of_Carriage.pdf,pdf-parse-native,True,9,False,Seeded from existing verified corpus,594439e56e66493ddc8944382e7e9d76,,,,legacy_corpus,2026-03-11T09:45:34.470976+00:00,system_seed,Auto-approved from verified production corpus
CORP-0046,,,vacation express.pdf,insurance,pdf_native_text,2026-03-11T09:45:34.474164+00:00,,undetected,en,unverified,approved_for_corpus,/home/claude/repo/data/corpus/active/vacation express.pdf,pdf-parse-native,True,5,False,Seeded from existing verified corpus,5576e2e488bc4fb074dc241589f21d0d,,,,legacy_corpus,2026-03-11T09:45:34.474169+00:00,system_seed,Auto-approved from verified production corpus
